,DAwords,DAcount
0,data,706
1,degree,474
2,analysis,460
3,business,435
4,management,369
5,sql,365
6,bachelors,331
7,communication,330
8,analytical,304
9,tools,301
10,team,295
11,support,293
12,reports,283
13,written,281
14,excel,280
15,reporting,278
16,information,260
17,analytics,255
18,develop,254
19,systems,249
20,science,238
21,analyze,225
22,development,218
23,projects,213
24,computer,212
25,technical,212
26,identify,207
27,tableau,206
28,statistics,203
29,complex,195
30,teams,192
31,andor,189
32,multiple,189
33,statistical,186
34,processes,184
35,understanding,180
36,python,176
37,project,174
38,performance,174
39,design,173
40,verbal,172
41,maintain,171
42,must,170
43,research,168
44,internal,162
45,results,162
46,insights,160
47,communicate,160
48,process,158
49,database,157
